id,inn_id,m_id,t_id,b1,b2,runs,balls,c1,c2,c3,dots,c4,c6,sr,for_wicket,unbeaten,bow_team,bat_team,b1s,b2s,b1b,b2b
196,31,16,2,15,73,3,7,3,0,0,4,0,0,42.86,4,11.2,21,22,2,1,5,2
197,31,16,2,9,73,78,33,14,0,0,7,4,8,236.36,5,16.5,21,22,52,26,21,12
198,31,16,2,9,8,15,8,3,0,0,3,0,2,187.5,6,18.1,21,22,1,14,2,6
199,31,16,2,123,8,15,11,5,1,0,3,2,0,136.36,7,0,21,22,2,13,4,7
200,32,16,2,29,84,146,97,53,0,0,25,11,8,150.52,1,16.1,22,21,75,70,52,45
201,32,16,2,29,5,0,1,0,0,0,1,0,0,0,2,16.2,22,21,0,0,0,1
202,32,16,2,29,109,1,2,1,0,0,1,0,0,50,3,16.4,22,21,0,1,1,1
203,32,16,2,111,109,52,20,6,0,0,4,7,3,260,4,0,22,21,20,32,9,11
204,33,17,2,71,2,20,12,4,1,0,4,2,1,166.67,1,1.6,25,24,13,7,5,7
205,33,17,2,71,137,15,11,3,0,0,5,3,0,136.36,2,3.5,25,24,14,1,10,1
206,33,17,2,138,137,16,10,2,0,0,5,2,1,160,3,5.3,25,24,11,5,7,3
207,33,17,2,6,137,12,13,8,0,0,4,1,0,92.31,4,7.4,25,24,7,5,8,5
208,33,17,2,140,137,93,58,37,1,0,8,10,2,160.34,5,17.2,25,24,48,43,30,28
209,33,17,2,140,139,34,16,6,1,0,4,2,3,212.5,6,0,25,24,11,23,7,9
210,34,17,2,88,147,13,10,4,2,0,3,1,0,130,1,1.4,24,25,8,4,5,5
211,34,17,2,88,148,8,8,4,0,0,3,1,0,100,2,2.6,24,25,6,2,6,2
212,34,17,2,31,148,19,15,11,0,0,2,2,0,126.67,3,5.3,24,25,9,10,7,8
213,34,17,2,87,148,2,3,1,0,0,2,0,0,66.67,4,5.6,24,25,1,0,2,1
214,34,17,2,87,149,18,12,7,1,0,2,2,0,150,5,7.6,24,25,9,8,7,5
215,34,17,2,152,149,24,18,12,1,0,3,1,1,133.33,6,10.6,24,25,13,11,7,11
216,34,17,2,152,151,1,3,1,0,0,2,0,0,33.33,7,11.3,24,25,1,0,2,1
217,34,17,2,152,91,22,21,11,1,0,7,2,0,104.76,8,14.6,24,25,7,14,10,11
218,34,17,2,152,154,29,27,13,2,0,9,3,0,107.41,9,19.3,24,25,21,8,15,12
219,34,17,2,152,153,0,1,0,0,0,1,0,0,0,10,19.4,24,25,0,0,0,1
221,35,18,2,184,185,9,11,3,0,0,7,0,1,81.82,1,1.5,27,28,8,1,8,3
222,35,18,2,186,185,0,1,0,0,0,1,0,0,0,2,1.6,27,28,0,0,1,0
223,35,18,2,187,185,4,4,0,0,0,3,1,0,100,3,2.4,27,28,0,4,0,4
224,35,18,2,187,7,1,6,1,0,0,5,0,0,16.67,4,3.4,27,28,0,1,0,6
225,35,18,2,187,61,30,27,11,0,0,12,3,1,111.11,5,8.1,27,28,22,7,16,11
226,35,18,2,187,189,23,14,3,0,0,7,2,2,164.29,6,10.3,27,28,21,2,10,4
227,35,18,2,188,189,13,8,1,0,0,4,3,0,162.5,7,11.5,27,28,9,4,6,2
228,35,18,2,11,189,13,15,4,0,0,9,2,0,86.67,8,14.2,27,28,9,3,9,6
229,35,18,2,11,53,35,34,13,3,0,14,4,0,102.94,9,0,27,28,18,17,18,16
230,36,18,2,171,172,85,61,23,0,0,25,8,5,139.34,1,10.1,28,27,42,43,33,28
231,36,18,2,171,173,0,1,0,0,0,1,0,0,0,2,10.2,28,27,0,0,0,1
232,36,18,2,171,4,8,7,2,0,0,4,0,1,114.29,3,11.3,28,27,7,1,4,3
233,36,18,2,174,4,36,14,6,0,0,3,0,5,257.14,4,0,28,27,14,22,5,9
234,37,19,2,71,2,8,8,4,0,0,3,1,0,100,1,1.2,23,24,7,1,6,2
235,37,19,2,71,137,34,24,10,1,0,8,4,1,141.67,2,5.2,23,24,23,11,12,12
236,37,19,2,71,138,0,1,0,0,0,1,0,0,0,3,5.3,23,24,0,0,0,1
237,37,19,2,71,139,126,73,34,1,0,20,9,9,172.6,4,17.4,23,24,57,69,35,38
238,37,19,2,71,6,0,1,0,0,0,1,0,0,0,5,17.5,23,24,0,0,0,1
239,37,19,2,71,140,36,13,4,3,0,1,2,3,276.92,6,0,23,24,22,14,7,6
240,38,19,2,127,3,37,19,7,0,0,6,3,3,194.74,1,3.1,24,23,14,23,8,11
241,38,19,2,128,3,20,17,6,1,0,7,3,0,117.65,2,5.6,24,23,15,5,11,6
242,38,19,2,94,3,88,45,23,1,0,10,5,7,195.56,3,13.3,24,23,39,48,21,25
243,38,19,2,94,33,50,31,18,1,0,6,7,0,161.29,4,18.4,24,23,23,25,18,14
244,38,19,2,94,60,7,4,1,0,0,2,0,1,175,5,19.2,24,23,0,7,1,3
245,38,19,2,94,129,4,4,0,0,0,3,1,0,100,6,0,24,23,0,4,0,4
246,39,20,2,1,56,18,12,4,0,0,5,2,1,150,1,1.6,22,26,7,11,8,4
247,39,20,2,1,159,12,7,3,0,0,3,2,0,171.43,2,3.1,22,26,10,1,7,1
248,39,20,2,160,159,0,1,0,0,0,1,0,0,0,3,3.2,22,26,0,0,1,0
249,39,20,2,161,159,13,12,5,0,0,5,2,0,108.33,4,5.2,22,26,8,5,7,5
250,39,20,2,161,59,19,11,5,0,0,3,2,1,172.73,5,7.1,22,26,12,7,7,4
251,39,20,2,162,59,0,4,0,0,0,4,0,0,0,6,7.5,22,26,0,0,4,0
252,39,20,2,163,59,9,8,5,0,0,2,1,0,112.5,7,9.1,22,26,7,2,5,3
253,39,20,2,163,167,48,44,15,1,1,20,7,0,109.09,8,16.3,22,26,37,11,26,18
254,39,20,2,166,167,20,21,8,2,0,9,2,0,95.24,9,0,22,26,14,6,12,9
255,40,20,2,120,122,0,1,0,0,0,1,0,0,0,1,0.1,26,22,0,0,1,0
256,40,20,2,121,122,11,10,1,0,0,7,1,1,110,2,1.5,26,22,6,5,6,4
257,40,20,2,15,122,7,6,1,0,0,4,0,1,116.67,3,2.5,26,22,0,7,2,4
258,40,20,2,9,122,32,16,4,1,0,6,2,3,200,4,5.3,26,22,17,15,8,8
259,40,20,2,9,8,0,1,0,0,0,1,0,0,0,5,5.4,26,22,0,0,0,1
260,40,20,2,9,123,89,54,26,1,0,14,9,4,164.81,6,14.4,26,22,42,46,30,24
261,40,20,2,124,123,0,2,0,0,0,2,0,0,0,7,14.6,26,22,0,0,2,0
262,40,20,2,125,123,2,2,0,1,0,1,0,0,100,8,0,26,22,0,2,0,2
263,41,21,2,88,147,5,8,5,0,0,3,0,0,62.5,1,1.2,28,25,2,3,5,3
264,41,21,2,148,147,69,61,34,1,0,19,5,2,113.11,2,11.3,28,25,27,41,31,30
265,41,21,2,31,147,94,51,26,1,0,9,12,3,184.31,3,0,28,25,43,51,22,29
266,42,21,2,188,184,15,11,3,0,0,5,3,0,136.36,1,1.5,25,28,13,2,9,2
267,42,21,2,186,184,155,96,54,2,1,21,11,8,161.46,2,0,25,28,92,61,55,42
268,43,22,2,84,29,74,48,19,0,0,19,6,5,154.17,1,7.6,23,21,32,41,25,24
269,43,22,2,109,29,36,23,12,0,0,6,4,1,156.52,2,11.5,23,21,23,11,13,10
270,43,22,2,5,29,0,1,0,0,0,1,0,0,0,3,11.6,23,21,0,0,1,0
271,43,22,2,110,29,44,25,11,0,0,7,5,2,176,4,16.1,23,21,9,34,7,18
